IDCode,S1,S2,S3,S5,S6,Missing_total,gmm_bic_best_label
paxi044,6,5,0,2,2,6.947368421,3
pivi588,16,34,5,4,7,0.0,1
weda047,11,32,5,5,4,0.0,4
zoka501,7,20,5,5,5,0.0,0
hyku415,8,28,5,3,4,0.0,2
syvi476,8,14,2,2,4,0.0,3
hopi338,11,22,3,4,3,8.684210526,6
kuqy630,12,31,5,4,4,0.0,2
node314,9,24,3,5,2,0.0,0
mybu425,12,30,2,3,2,0.0,0
pyqy867,11,31,5,6,1,0.0,4
tywo507,13,31,5,4,5,0.0,4
nuhi137,10,24,1,3,2,0.0,5
mory430,6,20,3,4,2,0.0,6
vuho146,12,19,3,6,5,6.947368421,0
nysa238,10,18,3,3,4,1.736842105,5
kisa730,11,30,4,5,3,8.684210526,2
doza768,7,25,3,3,2,0.0,5
sapu497,8,24,5,3,4,0.0,0
dila385,14,27,3,5,4,0.0,0
pymu787,11,20,3,5,3,0.0,2
bejy525,9,28,3,5,2,0.0,0
bajo794,14,30,4,2,4,0.0,4
dugu064,1,17,4,4,3,3.473684211,5
hiwu738,12,29,4,6,6,0.0,4
zucy684,9,30,3,7,3,0.0,2
huxe147,10,22,2,5,5,0.0,0
woza563,9,23,4,5,1,5.210526316,0
neku787,11,27,4,7,4,0.0,4
navo572,8,22,5,3,5,0.0,0
gola051,9,24,4,3,5,0.0,0
pyzo535,8,13,3,3,0,52.10526316,3
xoky149,11,28,2,4,2,0.0,0
loxu319,12,33,5,7,4,0.0,1
qisu640,9,17,3,6,2,12.15789474,5
gery678,6,13,0,4,3,46.89473684,3
huho039,10,27,5,7,3,0.0,2
wozo826,4,15,2,5,3,17.36842105,5
soru820,4,16,5,4,1,0.0,5
fari709,5,13,0,3,0,46.89473684,3
qapo730,10,21,3,5,3,24.31578947,5
najy705,8,25,2,4,2,0.0,5
sejy814,11,33,5,4,5,8.684210526,4
laze716,9,24,3,7,5,0.0,0
kojo378,6,19,2,4,0,5.210526316,5
tepu554,12,31,5,5,3,0.0,4
dyva324,10,16,3,5,2,13.89473684,5
pusu302,6,12,0,2,0,50.36842105,3
xamy888,11,23,4,6,3,0.0,0
ninu744,2,19,0,3,0,1.736842105,3
punu537,5,28,4,4,2,6.947368421,0
zufa556,1,8,0,4,0,15.63157895,3
losy787,7,14,3,4,3,45.15789474,5
fuxa711,8,24,4,4,1,5.210526316,5
myzo000,8,28,5,4,3,5.210526316,0
jygo886,8,17,2,5,1,0.0,5
dyzo734,2,2,2,1,0,52.10526316,3
ciky680,11,33,4,5,5,8.684210526,4
nopo152,8,18,3,4,4,1.736842105,5
tivy194,9,28,4,3,1,3.473684211,0
biry098,7,27,2,4,0,20.84210526,5
tebo981,12,27,5,7,6,0.0,4
jyma323,9,27,4,7,4,0.0,4
cani065,10,27,3,7,6,0.0,4
puxi257,11,18,3,4,3,8.684210526,5
jemy201,8,29,4,5,1,0.0,0
woqa919,11,25,5,5,6,0.0,4
huze427,10,16,0,4,6,0.0,5
jaxe723,13,27,5,6,6,0.0,4
xamy676,8,24,5,3,3,0.0,0
lowy720,11,26,5,6,4,0.0,2
mixa281,8,16,5,4,5,0.0,5
sipy389,5,14,3,4,3,45.15789474,5
bube109,10,29,5,5,3,0.0,4
boqe999,11,31,5,6,4,0.0,4
guzo911,9,28,3,8,2,17.36842105,0
guxe800,10,25,5,5,4,0.0,0
dove442,10,27,4,5,2,1.736842105,0
zivi062,5,23,5,4,5,0.0,0
lury747,7,18,2,6,3,0.0,5
tuve726,11,23,5,5,4,0.0,0
vihu826,11,29,4,6,6,0.0,2
hata313,7,23,1,7,3,0.0,0
hoki309,5,20,4,5,2,0.0,5
kyzy131,10,19,2,3,4,0.0,5
syti148,9,31,5,7,1,1.736842105,4
syco853,13,32,5,6,5,0.0,1
sefy975,11,23,4,2,2,20.84210526,5
jese656,11,28,5,5,6,0.0,4
guge611,10,26,1,5,0,0.0,5
mesi806,8,22,4,4,4,0.0,2
sesi698,10,30,5,6,3,0.0,4
gopa505,9,25,4,5,3,0.0,2
duwi894,10,29,5,5,5,0.0,4
hasa034,7,26,4,4,4,0.0,0
magu282,13,29,4,8,5,6.947368421,6
pile112,13,32,4,6,6,0.0,1
sivi804,8,20,3,7,4,0.0,0
maho931,10,21,3,4,4,13.89473684,2
waho571,10,26,3,3,3,0.0,0
mowy859,3,24,2,2,3,0.0,5
rihi168,6,18,2,3,1,0.0,5
siry766,8,30,5,3,3,0.0,2
qefe646,6,16,3,4,2,0.0,5
zojo883,12,32,5,7,4,0.0,1
dero258,12,31,5,3,4,0.0,4
mika525,8,26,5,1,3,1.736842105,0
xohi599,11,28,5,6,5,0.0,4
tebe135,13,22,4,5,4,0.0,2
naso669,8,20,2,4,3,1.736842105,5
qecu035,10,32,5,5,4,0.0,2
zywy107,8,30,5,1,2,0.0,0
cave700,7,24,3,3,0,5.210526316,5
nupy082,10,30,5,5,4,0.0,4
hoge626,15,34,5,4,5,0.0,1
nivo041,12,27,5,6,5,0.0,2
karo919,6,16,2,4,3,0.0,5
vuhe805,7,25,5,5,4,0.0,0
kebi083,8,24,5,7,5,3.473684211,4
faly535,10,24,3,4,1,0.0,5
gelo627,10,23,2,3,2,0.0,5
vili771,12,30,5,3,5,0.0,4
katu927,9,32,5,3,3,0.0,4
xiza150,4,16,3,3,4,0.0,5
bevi590,10,28,5,7,4,0.0,4
huve181,10,20,5,4,2,0.0,5
fite050,13,31,5,6,4,0.0,4
nysu060,13,28,5,4,5,0.0,4
kaho190,10,24,5,4,4,6.947368421,0
lany944,15,34,5,5,6,0.0,1
maqu534,11,28,3,4,5,1.736842105,0
wuga870,10,28,4,3,5,5.210526316,0
wyva352,11,26,5,7,4,0.0,2
hime464,14,26,4,4,6,0.0,0
jexu775,11,27,5,5,4,0.0,0
tuga736,11,25,4,2,2,0.0,0
hyfe498,10,20,3,4,3,26.05263158,5
bomo360,10,32,5,6,5,0.0,4
lomo204,15,34,5,8,5,0.0,1
mipe544,9,28,5,4,4,0.0,4
hufy497,11,31,5,6,4,1.736842105,4
rapo919,15,31,4,0,6,8.684210526,2
gata076,2,14,2,4,0,0.0,3
muvo194,7,21,2,4,2,22.57894737,5
cywo537,8,24,5,6,5,0.0,0
xamy327,8,22,3,5,3,20.84210526,2
cogu074,10,26,5,7,6,0.0,4
rapo615,5,15,3,4,3,33.0,5
zady580,6,22,3,5,2,0.0,5
nujo284,12,26,4,4,6,1.736842105,0
syzu625,10,27,3,3,3,0.0,2
myte214,8,26,5,7,2,0.0,2
tyzo440,7,24,3,5,1,0.0,5
vyzo298,7,28,4,8,4,1.736842105,4
hiwu589,10,27,5,3,2,12.15789474,2
sazy810,10,26,5,8,5,0.0,4
turi097,8,22,3,8,3,0.0,0
foji729,7,26,5,6,4,0.0,0
dexe201,13,29,4,7,4,0.0,4
dosu709,9,28,3,7,3,0.0,0
doxe392,8,25,3,2,2,24.31578947,2
culu497,6,27,5,5,3,0.0,0
lije367,14,32,5,6,6,0.0,1
vice024,12,28,5,7,5,0.0,4
kapy740,8,27,5,8,5,0.0,4
vudi262,7,21,5,5,3,0.0,0
tuza510,10,22,5,7,3,0.0,0
tubo945,13,28,5,8,4,0.0,4
bofi323,7,21,5,5,5,6.947368421,0
zeji633,7,7,1,4,3,22.57894737,3
bowo488,1,19,4,8,2,6.947368421,5
pipo687,2,12,3,4,1,34.73684211,3
core934,9,25,5,6,4,1.736842105,2
dedu084,8,22,2,5,3,38.21052632,5
lowa532,3,6,0,5,2,52.10526316,3
zuha759,2,10,0,4,3,34.73684211,3
qafu966,5,8,2,5,0,52.10526316,3
lobo127,7,22,4,7,4,0.0,0
homa046,6,10,3,3,4,1.736842105,3
keno764,10,24,2,4,1,0.0,5
habe142,12,23,5,8,6,0.0,4
joti731,12,30,5,8,5,0.0,1
reve265,10,24,2,7,5,0.0,0
cyca115,13,32,5,6,5,0.0,1
rawo522,14,33,4,5,5,0.0,1
pogi169,12,33,5,6,4,0.0,1
vepi727,10,24,5,5,4,0.0,0
risy585,8,25,5,3,1,6.947368421,0
fefu774,11,32,4,4,4,0.0,4
wyxo615,11,30,5,7,4,0.0,4
ciby707,10,31,5,5,4,0.0,2
xuvy948,15,34,5,7,6,0.0,1
ravy196,15,33,5,8,6,0.0,1
loge702,10,23,4,5,3,0.0,0
viry492,10,27,5,5,3,0.0,0
gowa049,11,31,4,5,3,0.0,4
vyva107,11,29,4,4,4,0.0,4
duxo262,12,31,5,7,4,0.0,1
peto053,12,30,5,7,6,0.0,1
difi858,14,30,5,5,3,0.0,4
xoru423,9,26,5,4,4,0.0,0
wizy437,14,29,5,6,7,0.0,1
kuge219,12,31,5,6,4,0.0,1
hazu473,9,22,5,6,5,0.0,0
gono087,11,27,4,4,5,0.0,0
vury347,10,25,3,7,5,1.736842105,4
copo281,5,13,1,5,0,0.0,3
heda014,13,31,5,5,5,0.0,4
powu461,11,30,5,8,5,0.0,1
peqa279,9,28,4,8,5,0.0,4
lufy687,8,21,5,4,3,0.0,2
koze985,12,30,5,7,6,0.0,1
hadi890,9,24,5,7,4,0.0,0
recu163,12,34,4,5,2,0.0,2
xyzi642,11,32,5,7,4,0.0,1
nejy388,9,27,3,5,0,3.473684211,2
tezy480,11,25,5,5,6,0.0,4
nawu690,9,26,5,5,4,0.0,0
mofe780,6,24,4,3,3,0.0,2
nily317,6,13,1,5,2,1.736842105,3
roho333,11,23,3,4,1,3.473684211,5
xime971,7,19,2,3,2,0.0,5
muqo157,9,23,1,6,2,0.0,5
riby296,8,23,4,6,4,0.0,0
pala257,10,24,4,8,6,0.0,4
tuby409,12,29,3,4,5,0.0,4
hoxo855,8,25,4,4,2,0.0,0
qixy634,11,30,5,8,6,0.0,1
niri091,12,28,2,4,4,0.0,0
lazi600,12,29,4,7,5,5.210526316,4
qedo478,8,21,2,7,3,0.0,0
ruhu758,13,28,4,8,6,0.0,4
cima563,12,31,5,8,5,0.0,1
lyzy104,10,26,4,5,4,0.0,2
xafy802,11,28,5,5,4,0.0,4
bacy598,7,4,0,5,3,1.736842105,3
kexi927,11,17,2,3,2,36.47368421,5
cumo221,11,26,4,7,5,0.0,4
kami789,7,22,4,6,2,0.0,0
zoko875,12,29,5,7,6,8.684210526,4
sina926,8,29,4,6,3,3.473684211,4
fise899,10,24,3,5,4,1.736842105,0
cija437,13,30,5,5,5,0.0,4
manu258,10,29,5,5,2,0.0,2
zuwa573,10,28,5,6,4,0.0,4
joxi410,6,18,4,5,3,1.736842105,5
muta539,16,33,5,8,7,0.0,1
reqy562,15,31,5,5,7,0.0,1
doxe492,11,28,5,7,5,0.0,4
gylu244,8,18,3,3,4,1.736842105,5
maxy370,12,33,5,4,3,0.0,4
ryko512,13,31,5,8,4,0.0,1
kula014,12,32,4,5,5,0.0,4
jeqy595,10,23,3,3,3,0.0,5
guva627,13,33,5,5,3,0.0,4
lohy238,13,33,5,6,4,0.0,1
cobi870,10,26,3,3,3,0.0,0
giki066,14,34,5,7,5,0.0,1
hywy001,11,29,4,4,4,0.0,0
feji918,8,30,5,5,3,0.0,4
luli756,10,30,4,5,2,0.0,4
wumu083,13,30,5,8,5,0.0,1
cyga680,11,33,5,5,3,0.0,4
buvy316,11,31,3,4,4,0.0,4
rejy122,12,32,5,5,2,0.0,4
dusi300,12,32,5,8,1,0.0,4
howe436,12,29,5,6,5,0.0,4
ropi792,14,34,5,6,3,0.0,1
jemy300,11,33,5,7,4,0.0,1
qexo432,13,30,5,2,5,0.0,4
kyso927,13,33,4,4,3,0.0,4
cozi663,7,14,3,4,2,0.0,5
vani542,11,26,5,5,3,0.0,0
kaxu871,9,30,4,7,3,0.0,2
moku835,15,34,4,3,6,0.0,1
cahe192,11,32,5,5,4,0.0,4
feso129,12,34,5,8,2,0.0,1
tufa140,15,32,5,7,6,0.0,1
zigi489,6,22,4,4,3,3.473684211,5
dahi696,10,29,5,7,4,0.0,4
quhe482,7,17,2,5,3,1.736842105,5
taxa827,11,27,5,5,4,0.0,4
vuga321,12,33,4,4,2,0.0,4
nycu731,11,31,4,8,3,1.736842105,4
raxy329,12,30,5,2,4,0.0,4
nyfe489,12,30,4,8,5,0.0,1
texu966,9,23,3,5,3,3.473684211,0
kifo712,11,26,3,4,3,0.0,0
pajo050,9,26,3,4,3,22.57894737,0
hefy659,10,22,4,5,4,5.210526316,0
tujy672,12,32,3,3,4,0.0,4
cyfe247,7,15,1,5,4,0.0,5
xori482,9,27,3,4,5,3.473684211,0
raje697,9,30,5,7,3,0.0,4
biwu043,5,21,5,4,4,0.0,0
cylu852,10,27,5,8,3,0.0,4
fode209,10,28,3,5,1,0.0,2
woju333,7,27,5,3,2,3.473684211,0
saca329,12,31,5,7,3,0.0,4
jizi110,8,27,5,5,2,0.0,2
vyxi492,14,32,5,6,6,0.0,1
xehy451,9,26,5,6,4,0.0,2
feke878,8,19,5,5,6,1.736842105,0
rozu771,10,27,2,6,1,0.0,2
duvi856,15,32,5,7,5,0.0,1
nexu635,11,26,3,6,5,0.0,0
cozi454,7,27,5,2,2,0.0,2
saze236,11,29,3,5,2,0.0,0
quzy338,12,29,3,5,3,0.0,4
lula174,11,31,5,7,4,0.0,1
buzo685,8,25,5,5,1,5.210526316,0
huby293,14,32,5,7,5,0.0,1
dyhi182,10,25,5,5,4,0.0,0
tatu362,13,31,4,4,5,0.0,4
bene344,11,30,5,7,2,0.0,2
keho061,8,24,4,5,3,0.0,0
vyxy108,9,22,4,6,4,0.0,0
zusa663,13,28,5,7,6,0.0,4
nehe056,13,32,5,8,5,0.0,1
myve834,15,32,5,7,7,0.0,1
tyhy481,7,21,4,6,4,0.0,0
sati762,7,25,4,4,3,0.0,0
biku776,9,24,5,5,3,0.0,0
wify666,12,32,5,8,4,0.0,1
sony276,12,29,5,7,5,0.0,4
tusi463,10,27,4,5,3,0.0,0
baco446,5,21,3,5,2,19.10526316,5
coni238,12,27,3,4,3,29.52631579,0
tuvu087,3,16,3,5,3,29.52631579,5
vuci475,11,25,3,4,3,22.57894737,0
seto741,8,13,0,2,1,33.0,3
jewe923,13,29,4,4,5,6.947368421,4
jaqy340,8,26,3,4,3,22.57894737,0
pubu440,3,16,2,3,0,12.15789474,3
gyjy255,11,28,5,3,4,6.947368421,0
zyte492,13,29,5,6,6,0.0,4
ruco451,7,24,3,5,3,22.57894737,0
loda300,7,23,3,7,3,19.10526316,0
moly152,9,15,3,5,3,45.15789474,5
cuba307,10,27,5,4,3,6.947368421,0
jupo405,8,21,3,5,0,34.73684211,5
xuke183,11,27,1,6,5,0.0,0
mado232,10,22,2,4,2,34.73684211,5
zafy372,15,30,5,7,7,0.0,1
gyly160,5,21,4,6,4,3.473684211,0
tapi010,8,15,2,3,2,45.15789474,3
gelu604,16,32,5,8,7,0.0,1
qiqi041,10,27,3,3,3,22.57894737,0
ratu271,6,26,5,5,3,0.0,0
kyqu130,9,30,5,8,4,0.0,4
lucu601,10,27,5,8,4,0.0,4
kama922,11,26,5,7,1,0.0,0
zoma564,14,30,3,3,4,3.473684211,4
puju088,12,30,4,5,1,0.0,0
jufy997,10,31,5,6,5,0.0,2
wyja070,12,32,4,5,1,0.0,2
dasy955,9,25,5,4,3,0.0,0
wyki565,7,25,5,3,3,0.0,0
garu074,9,27,5,7,6,0.0,4
qyxy586,10,26,5,7,5,0.0,4
kegi864,14,32,5,6,4,0.0,1
gyge774,13,31,5,2,2,0.0,4
vyda893,6,10,0,0,2,1.736842105,3
vuvy608,15,30,4,7,5,0.0,1
vizo712,10,28,4,6,5,0.0,4
givi158,6,27,3,5,1,0.0,0
caro445,11,30,5,5,2,0.0,4
nene689,12,31,5,7,4,0.0,1
ryfy568,9,26,4,3,3,0.0,0
johy783,9,17,4,2,4,6.947368421,5
sulo956,7,22,5,6,4,0.0,0
gony054,10,31,5,7,3,0.0,4
puca767,11,26,4,5,5,0.0,0
baky109,10,18,0,4,2,0.0,5
mabo887,10,26,5,5,5,1.736842105,0
cona428,10,30,5,3,5,0.0,2
lilo882,12,28,5,5,3,0.0,4
gycy436,8,27,5,5,3,0.0,0
jyri631,13,29,5,7,3,0.0,2
safu128,11,32,5,7,4,0.0,1
fore104,10,29,4,7,4,0.0,4
zabe850,13,30,5,6,4,0.0,4
woci389,12,27,4,6,5,0.0,4
kygi723,11,30,3,5,4,0.0,4
qejy219,12,34,5,6,4,0.0,1
jago498,11,29,5,7,2,0.0,4
buby593,12,29,5,5,4,0.0,4
dapu822,11,31,3,7,3,0.0,2
sugu976,3,21,4,5,4,0.0,5
wuxa997,9,24,2,5,3,0.0,0
tiqy778,9,27,5,6,4,0.0,4
xyfe491,5,14,3,4,3,0.0,5
ryhy064,10,32,5,6,3,0.0,4
kufi222,11,25,4,7,5,0.0,0
xaja332,9,27,5,5,3,0.0,0
fofa613,9,22,2,3,6,0.0,5
viba035,4,20,3,5,3,0.0,5
qewy924,12,27,5,6,6,0.0,4
pytu496,7,23,4,5,5,0.0,0
tosa657,13,32,5,4,6,0.0,4
keri121,14,34,5,8,5,0.0,1
bofi991,10,22,4,3,4,0.0,0
bihi184,6,6,0,4,0,57.31578947,3
piro376,8,23,5,8,4,1.736842105,0
zade686,5,6,2,2,4,5.210526316,6
zejy480,5,19,4,5,2,5.210526316,5
zapy404,11,22,4,4,4,0.0,0
lusi512,9,25,5,4,3,0.0,0
sedo490,2,8,3,4,1,20.84210526,3
davu999,9,30,5,6,1,0.0,4
buby236,3,7,2,5,2,0.0,3
weru214,11,28,2,7,5,0.0,4
tyly265,4,15,1,4,0,17.36842105,3
nise834,3,11,0,3,1,57.31578947,3
voxy002,7,11,0,2,0,20.84210526,3
fypi681,10,28,3,6,1,5.210526316,0
xopa120,5,10,0,4,0,62.52631579,3
wari483,8,25,3,5,4,0.0,0
kegy317,10,29,5,6,1,0.0,4
geka905,10,27,5,5,5,0.0,4
lore323,3,13,2,5,0,6.947368421,3
vane668,11,31,4,8,5,0.0,1
zuxy510,3,6,0,0,0,74.68421053,3
masu336,8,31,5,5,1,5.210526316,0
xise560,10,24,3,4,6,0.0,0
zomi496,9,21,3,4,5,0.0,5
lilu285,3,9,1,3,1,0.0,3
heqi003,4,4,3,3,2,24.31578947,3
jise415,10,32,5,8,4,0.0,1
vabe169,14,30,4,8,7,0.0,1
kofa904,6,20,1,3,3,5.210526316,5
peqo117,5,7,0,3,0,55.57894737,3
gaho243,8,29,5,5,3,0.0,0
mude815,7,9,0,4,5,19.10526316,3
raxe285,12,25,2,5,3,0.0,0
qami382,13,29,5,6,4,0.0,4
bebo956,5,17,3,5,0,5.210526316,5
cofi309,11,28,4,5,5,0.0,2
buqe642,14,31,4,6,4,0.0,4
vuzo690,9,26,5,8,1,5.210526316,2
posy958,12,31,3,7,3,17.36842105,4
gaga585,9,26,4,5,4,0.0,0
vopa930,12,26,5,4,3,5.210526316,0
xutu412,15,34,5,7,6,0.0,1
doxi119,7,17,1,4,2,0.0,5
feqy379,11,27,5,5,6,0.0,4
xypo299,6,12,1,8,3,17.36842105,5
gahu141,14,30,5,7,5,0.0,1
kyse146,13,32,5,5,4,0.0,4
sedi312,11,27,2,8,5,0.0,4
nasi298,13,30,5,7,5,0.0,1
naky151,6,22,4,7,2,0.0,2
koqa816,16,33,5,7,6,0.0,1
sila763,13,30,4,7,5,0.0,4
pody147,11,28,5,8,4,0.0,4
voza333,14,34,5,7,3,0.0,1
tiro932,10,27,3,7,4,0.0,4
wujy562,12,32,4,5,4,0.0,2
hamu369,12,32,5,4,5,0.0,1
nape687,7,7,1,5,3,13.89473684,3
gevi782,10,27,4,6,3,0.0,0
qoha890,16,32,5,8,7,0.0,1
fili803,13,32,5,5,5,0.0,1
puce552,9,21,4,3,3,0.0,5
buny935,13,31,4,4,1,0.0,4
pimi228,9,24,5,3,4,0.0,0
kyjo289,12,30,5,4,3,0.0,4
bepo134,12,29,4,7,3,0.0,4
kise589,13,29,5,3,5,0.0,4
remi231,10,26,3,7,1,0.0,0
qyjo579,11,32,5,4,1,3.473684211,2
cyhu257,7,19,5,4,3,5.210526316,5
diha837,12,27,4,5,4,0.0,4
ware232,14,31,5,7,5,0.0,1
hyge979,12,31,4,5,5,0.0,2
biqe951,10,31,4,5,3,0.0,4
jide437,14,33,5,7,4,0.0,1
zipu412,12,28,5,6,5,0.0,4
vate767,13,32,5,3,3,0.0,4
mefy253,11,29,4,8,3,0.0,4
qafe413,6,22,5,4,3,0.0,5
lota555,2,7,4,4,1,0.0,3
mecu237,10,32,4,3,4,6.947368421,2
cidy099,13,33,5,6,4,0.0,1
xoba600,14,32,5,3,5,3.473684211,4
joce161,3,11,1,2,3,17.36842105,3
kywu572,14,29,5,7,6,0.0,1
jefi901,12,33,5,5,4,0.0,4
mari840,13,30,3,3,5,0.0,2
nypy058,11,21,3,6,3,0.0,0
rino885,12,32,4,3,3,0.0,4
maju644,7,26,3,3,1,3.473684211,5
qosy291,8,31,5,5,3,0.0,4
posy537,13,31,5,6,5,0.0,1
xoki390,10,20,2,5,4,5.210526316,5
fagi164,7,23,3,3,4,0.0,5
zozy719,11,28,5,6,4,0.0,4
bopa107,9,33,4,5,3,5.210526316,4
jyly989,10,27,5,3,2,3.473684211,0
togu404,11,29,5,4,5,0.0,4
gosa272,10,23,3,4,5,1.736842105,0
fovo989,13,30,5,6,7,5.210526316,4
sira606,11,29,3,4,4,10.42105263,0
loby351,10,30,4,4,3,0.0,0
fike806,9,26,4,7,3,3.473684211,0
fafe171,7,18,0,4,3,24.31578947,5
zyvo780,12,32,5,5,5,0.0,4
xune455,11,29,3,5,4,0.0,0
vamu972,14,33,5,3,5,0.0,1
suzo040,11,24,5,4,4,0.0,2
wype120,7,26,3,5,3,1.736842105,0
jicu869,4,24,5,4,3,1.736842105,0
wero373,12,32,5,3,6,0.0,4
juqo313,11,30,5,7,3,0.0,4
vexo008,9,20,3,4,2,1.736842105,5
punu787,8,18,4,1,0,10.42105263,5
tomo782,6,9,0,0,0,72.94736842,3
cupe992,5,14,3,0,1,27.78947368,3
kyjo535,11,25,3,5,5,0.0,0
raja244,6,26,3,7,2,0.0,0
pino324,9,23,5,7,4,0.0,2
qutu379,8,20,3,3,1,0.0,5
nolu547,6,23,3,4,4,0.0,2
cape571,5,15,2,3,1,0.0,3
coma628,14,27,4,5,6,0.0,4
mida684,14,33,5,5,5,0.0,1
gaqe214,12,30,5,5,5,0.0,4
pufe463,16,32,4,6,6,0.0,1
fifa517,13,31,5,7,5,0.0,1
wuzy577,15,34,5,7,6,0.0,1
sire515,14,34,5,6,4,0.0,1
xyhi085,13,33,5,6,3,0.0,1
nexy906,12,32,5,6,4,0.0,1
pyzi618,16,34,5,6,6,0.0,1
muku118,10,30,4,5,4,0.0,4
kewi488,9,29,5,4,2,0.0,0
xafu780,4,11,1,2,2,0.0,3
wowy820,4,15,0,4,0,34.73684211,3
ryzo168,9,22,4,8,6,0.0,0
xavy753,7,7,0,4,3,48.63157895,3
deje129,11,10,0,4,2,55.57894737,3
